program,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
program_18,Reactome,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",13/109,0.002350594563606997,0.026481990995497747,2.8850629163582533,17.463536766938873,ACTN1;TUBB1;DAAM1;ACTB;TPM4;TUBA1C;ARHGAP6;WASF3;PDE5A;CTTN;MYL9;MYL6;MYLK
program_18,Reactome,Cellular Responses to Mechanical Stimuli,4/13,0.002968725019014401,0.029306644418475494,9.284701390782656,54.033459021685815,PRKAR2B;GNG11;ADCY6;TLN1
program_18,Reactome,Oncogenic MAPK Signaling,4/13,0.002968725019014401,0.029306644418475494,9.284701390782656,54.033459021685815,VWF;ACTB;ITGA2B;TLN1
program_18,Reactome,Response of Endothelial Cells to Shear Stress,4/13,0.002968725019014401,0.029306644418475494,9.284701390782656,54.033459021685815,PRKAR2B;GNG11;ADCY6;TLN1
program_18,Reactome,GP1b-IX-V Activation Signalling,3/7,0.0036663653294911483,0.032826759345444004,15.128774928774929,84.85055842026019,VWF;GP1BA;GP9
program_18,Reactome,Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion,3/7,0.0036663653294911483,0.032826759345444004,15.128774928774929,84.85055842026019,PRKAR2B;GNG11;ADCY6
program_18,Reactome,Intrinsic Pathway of Fibrin Clot Formation,3/7,0.0036663653294911483,0.032826759345444004,15.128774928774929,84.85055842026019,VWF;GP1BA;GP9
program_18,Reactome,p130Cas Linkage to MAPK Signaling for Integrins,3/7,0.0036663653294911483,0.032826759345444004,15.128774928774929,84.85055842026019,VWF;ITGA2B;TLN1
program_18,Reactome,RHO GTPase Effectors,9/65,0.0041891791674626006,0.03665531771529776,3.389477247449103,18.55823688195818,TUBB1;DAAM1;ACTB;TUBA1C;WASF3;CTTN;MYL9;MYL6;MYLK
program_18,Reactome,Post NMDA Receptor Activation Events,4/15,0.005245112339408003,0.04487485001493514,7.661860779454832,40.228282966931154,PRKAR2B;TUBB1;TUBA1C;NRGN
program_18,Reactome,ADORA2B Mediated Anti-Inflammatory Cytokines Production,3/8,0.0056543305150540514,0.04536214446807865,12.37156177156177,64.02695888245289,PRKAR2B;GNG11;ADCY6
program_18,Reactome,Factors Involved in Megakaryocyte Development and Platelet Production,6/34,0.005773363841391828,0.04536214446807865,4.519168291098116,23.294054674762275,PRKAR2B;GATA1;TUBB1;ACTB;TUBA1C;EHD3
program_18,Reactome,Integrin Signaling,3/8,0.0056543305150540514,0.04536214446807865,12.37156177156177,64.02695888245289,VWF;ITGA2B;TLN1
program_18,Reactome,Transmission Across Chemical Synapses,6/34,0.005773363841391828,0.04536214446807865,4.519168291098116,23.294054674762275,PRKAR2B;GNG11;TUBB1;ADCY6;TUBA1C;NRGN
program_19,GO_BP,B Cell Activation (GO:0042113),6/17,0.0001063448475836571,0.02528348751301448,11.301357257878998,103.39412246976381,RAG2;BLNK;SLC25A5;LAT2;TOP2B;CD79B
program_19,GO_BP,DNA Conformation Change (GO:0071103),4/6,8.181804741540218e-05,0.02528348751301448,35.41243523316062,333.2668780762956,HMGB1;TOP2B;HMGB2;TOP2A
program_19,GO_BP,DNA Topological Change (GO:0006265),4/5,2.8362621436468606e-05,0.02528348751301448,59.05181347150259,618.298376913657,HMGB1;TOP2B;HMGB2;TOP2A
program_19,GO_BP,Lymphocyte Differentiation (GO:0030098),6/17,0.0001063448475836571,0.02528348751301448,11.301357257878998,103.39412246976381,RAG2;BLNK;SLC25A5;TOP2B;SOX4;CD79B
program_20,KEGG,Platelet activation,9/30,8.129235451390215e-06,0.0011787391404515812,9.076248570339306,106.37402968807109,ADCY6;FERMT3;ITGA2B;ITGA2;GP9;GUCY1B1;PRKG1;VWF;RAP1B
program_20,Reactome,"Platelet Activation, Signaling and Aggregation",16/71,1.5302506690660508e-07,6.212817716408166e-05,6.493043339197185,101.89314806320044,MGLL;CLEC1B;PF4;FERMT3;ITGA2B;GP9;SELP;CD9;PLEK;MMRN1;TAGLN2;VWF;RAP1B;ADRA2A;RAB27B;CLU
program_20,Reactome,Hemostasis,23/162,1.8619738161771142e-06,0.00037798068468395416,3.8289050757312983,50.51808898837784,PRKAR2B;GATA2;ANGPT1;GP9;PLEK;RAB27B;MGLL;PF4;ITGA2;TUBA1C;CLEC1B;FERMT3;CLU;SELP;RAP1B;ADRA2A;ITGA2B;PDE5A;MMRN1;PRKG1;TAGLN2;VWF;CD9
program_20,Reactome,Platelet Degranulation,11/48,1.355991151684669e-05,0.001376331018959939,6.385176908752328,71.56757089576378,PF4;FERMT3;ITGA2B;SELP;CD9;PLEK;MMRN1;TAGLN2;VWF;RAB27B;CLU
program_20,Reactome,Response to Elevated Platelet Cytosolic Ca2+,11/48,1.355991151684669e-05,0.001376331018959939,6.385176908752328,71.56757089576378,PF4;FERMT3;ITGA2B;SELP;CD9;PLEK;MMRN1;TAGLN2;VWF;RAB27B;CLU
program_20,Reactome,Platelet Aggregation (Plug Formation),5/13,0.00026437215869098935,0.021467019285708336,12.82260548198337,105.63458268395748,GP9;RAP1B;ADRA2A;ITGA2B;VWF
program_21,Reactome,Innate Immune System,22/182,4.792330436740227e-05,0.02012778783430895,3.1082207274242513,30.914079420926363,CD68;IGHG3;CSTB;DUSP3;HMOX1;CREG1;CD59;LGALS3;IGHG1;GSN;CST3;IGHV3-7;ANXA2;IGLV2-23;TCIRG1;HSP90B1;LGMN;PSAP;C1QB;EEF1A1;ATP6V0E1;GRN
program_22,GO_BP,B Cell Receptor Signaling Pathway (GO:0050853),10/20,7.616250397784586e-09,5.948291560669762e-06,20.88950276243094,390.487092069291,IGKC;IGLC3;IGHG2;IGHA1;IGHG4;IGHG3;IGHA2;IGLC7;IGHG1;IGHD
program_22,GO_BP,ERAD Pathway (GO:0036503),7/9,2.1096400696811218e-08,8.238144472104781e-06,60.9144385026738,1076.6117391564087,CANX;HSPA5;HERPUD1;CALR;DERL3;XBP1;HSP90B1
program_22,GO_BP,Ubiquitin-Dependent ERAD Pathway (GO:0030433),6/8,3.483761137577591e-07,9.069391494826996e-05,52.233862433862434,776.7166544672597,CANX;HSPA5;HERPUD1;CALR;DERL3;HSP90B1
program_22,GO_BP,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),10/32,1.6058543785167577e-06,0.00031354306740539697,9.686556169429098,129.23662418052754,IGKC;IGLC3;IGHG2;IGHA1;IGHG4;IGHG3;IGHA2;IGLC7;IGHG1;IGHD
program_22,GO_BP,Response To Endoplasmic Reticulum Stress (GO:0034976),6/13,1.7378409080056256e-05,0.0027145074983047873,17.36543209876543,190.3300325020268,PDIA4;HSPA5;HERPUD1;PDIA6;XBP1;HSP90B1
program_22,GO_BP,Glomerular Filtration (GO:0003094),3/3,0.00012145712495887582,0.009485801459288202,136.44615384615383,1230.1915968597166,IGHA1;JCHAIN;IGHA2
program_22,GO_BP,Positive Regulation Of Respiratory Burst (GO:0060267),3/3,0.00012145712495887582,0.009485801459288202,136.44615384615383,1230.1915968597166,IGHA1;JCHAIN;IGHA2
program_22,GO_BP,Regulation Of Respiratory Burst (GO:0060263),3/3,0.00012145712495887582,0.009485801459288202,136.44615384615383,1230.1915968597166,IGHA1;JCHAIN;IGHA2
program_22,GO_BP,Renal Filtration (GO:0097205),3/3,0.00012145712495887582,0.009485801459288202,136.44615384615383,1230.1915968597166,IGHA1;JCHAIN;IGHA2
program_22,GO_BP,Retina Homeostasis (GO:0001895),5/11,0.00010286453597209529,0.009485801459288202,16.78574305275876,154.12833133611247,IGKC;IGHA1;IGHG3;IGHA2;JCHAIN
program_22,GO_BP,Regulation Of Lymphocyte Proliferation (GO:0050670),3/4,0.00046812994031470557,0.03323722576234409,45.45811965811966,348.51670486576245,MZB1;MYDGF;LGALS3
program_22,KEGG,Protein processing in endoplasmic reticulum,12/24,2.0799841514395127e-10,1.6847871626660053e-08,21.338983050847457,475.72041924741393,CANX;PDIA4;DAD1;HSPA5;HERPUD1;PDIA6;CALR;DERL3;HSP90B1;TXNDC5;XBP1;SSR4
program_22,KEGG,Thyroid hormone synthesis,4/9,0.0006112327551588716,0.0247549265839343,16.071125765426284,118.92685667197536,CANX;HSPA5;PDIA4;HSP90B1
program_22,Reactome,FCGR Activation,14/19,2.327851457569106e-15,3.643087531095651e-13,57.771413557540725,1946.5402262032885,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Role of Phospholipids in Phagocytosis,14/19,2.327851457569106e-15,3.643087531095651e-13,57.771413557540725,1946.5402262032885,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Binding and Uptake of Ligands by Scavenger Receptors,16/29,1.8233087339465157e-14,1.6770611657546582e-12,27.30111768573307,863.6855587030345,COL1A1;IGKC;IGLC3;IGLV6-57;IGHA1;IGLV2-23;IGLV3-21;IGLC7;IGHA2;JCHAIN;IGLV3-1;CALR;IGLC2;IGHV3-7;IGLV3-25;HSP90B1
program_22,Reactome,Classical Antibody-Mediated Complement Activation,14/21,2.14320915751394e-14,1.6770611657546582e-12,42.32100192678227,1332.0064319409662,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Scavenging of Heme From Plasma,13/18,3.912629470455145e-14,2.449306048504921e-12,53.172467532467536,1641.53944221915,IGKC;IGLC3;IGLV6-57;IGHA1;IGLV2-23;IGLV3-21;IGLC7;IGHA2;JCHAIN;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Creation of C4 and C2 Activators,14/22,5.655152019645477e-14,2.950104303581724e-12,37.32233934036042,1138.466617622408,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,FCGR3A-mediated IL10 Synthesis,14/24,3.193153427620493e-13,9.085972934956494e-12,30.181392788329205,868.3970589947883,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,FCGR3A-mediated Phagocytosis,14/24,3.193153427620493e-13,9.085972934956494e-12,30.181392788329205,868.3970589947883,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Initial Triggering of Complement,14/24,3.193153427620493e-13,9.085972934956494e-12,30.181392788329205,868.3970589947883,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Leishmania Phagocytosis,14/24,3.193153427620493e-13,9.085972934956494e-12,30.181392788329205,868.3970589947883,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Parasite Infection,14/24,3.193153427620493e-13,9.085972934956494e-12,30.181392788329205,868.3970589947883,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Regulation of Actin Dynamics for Phagocytic Cup Formation,14/25,6.963042519740586e-13,1.8161935905656695e-11,27.5423473234481,770.9926445660393,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Regulation of Complement Cascade,14/28,5.5348706390826495e-12,1.3326265461791302e-10,21.809248554913296,565.2946957962196,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,CD22 Mediated BCR Regulation,11/16,1.0051967513548852e-11,2.1422954462194848e-10,44.28288471305231,1121.3866811175842,IGKC;IGLC3;IGLV6-57;IGLV2-23;IGLV3-21;IGLC7;IGLV3-1;IGHD;IGHV3-7;IGLC2;IGLV3-25
program_22,Reactome,Fcgamma Receptor (FCGR) Dependent Phagocytosis,14/29,1.0266591595301045e-11,2.1422954462194848e-10,20.391385418608987,515.9454037224898,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
program_22,Reactome,Anti-inflammatory Response Favouring Leishmania Parasite Infection,14/30,1.8468631361653096e-11,3.211489786776344e-10,19.145384480644598,473.1771708720226,IGKC;IGLC3;IGHG2;IGLV6-57;IGHG4;IGHG3;IGLV2-23;IGLV3-21;IGLC7;IGHG1;IGLV3-1;IGLC2;IGHV3-7;IGLV3-25
