resource,method,position,source,target,ligand_complex,receptor_complex,score
consensus,NATMI magnitude,75,Monocyte classical,Monocyte non-classical,S100A9,CD68,6.6113124
consensus,NATMI magnitude,76,Monocyte classical,Monocyte non-classical,S100A9,ITGB2,6.6042833
consensus,NATMI magnitude,77,CD4 T memory,NK,HLA-B,KLRD1,6.5506353
consensus,NATMI magnitude,78,Plasmacytoid DC,Plasmacytoid DC,APP,CD74,6.5485168
consensus,NATMI magnitude,79,T activated,CD8 T memory,HLA-B,CD3D,6.5439167
consensus,NATMI magnitude,80,T proliferating,T proliferating,HMGB1,CXCR4,6.5165873
consensus,NATMI magnitude,81,Granulocyte precursor,CD8 T memory,HMGB1,CXCR4,6.5023937
consensus,NATMI magnitude,82,Erythroid early,CD4 T memory,HMGB1,CXCR4,6.489771
consensus,NATMI magnitude,83,CD8 T memory,CD4 T memory,HLA-B,CD3D,6.4766154
consensus,NATMI magnitude,84,Pre-B large,CD8 T cytotoxic,HMGB1,CXCR4,6.447666
consensus,NATMI magnitude,85,Monocyte classical,Monocyte non-classical,S100A8,CD68,6.44457
consensus,NATMI magnitude,86,Monocyte classical,Monocyte non-classical,S100A8,ITGB2,6.4377184
consensus,NATMI magnitude,87,Pre-B small,T proliferating,HLA-B,CD3D,6.428361
consensus,NATMI magnitude,88,NK,CD4 T memory,HLA-B,CD3D,6.410789
consensus,NATMI magnitude,89,T proliferating,CD8 T memory,HLA-B,CD3D,6.3954325
consensus,NATMI magnitude,90,Pre-B small,NK,HLA-B,KLRD1,6.3527136
consensus,NATMI magnitude,91,Erythroid late,CD4 T memory,HMGB1,CXCR4,6.303934
consensus,NATMI magnitude,92,Granulocyte precursor,Pre-B large,HMGB1,CXCR4,6.2914934
consensus,NATMI magnitude,93,T activated,CD4 T memory,HLA-B,CD3D,6.274828
consensus,NATMI magnitude,94,CD8 T cytotoxic,CD8 T cytotoxic,HLA-B,CD3D,6.1927943
consensus,NATMI magnitude,95,HSPC,Pre-B small,HMGB1,CXCR4,6.180386
consensus,NATMI magnitude,96,HSPC,B naive,HMGB1,CXCR4,6.174759
consensus,NATMI magnitude,97,T proliferating,CD4 T memory,HLA-B,CD3D,6.1324496
consensus,NATMI magnitude,98,Dendritic cell,T proliferating,HLA-B,CD3D,6.1323953
consensus,NATMI magnitude,99,Platelet,Pre-B small,HMGB1,CXCR4,6.122579
consensus,NATMI magnitude,100,Platelet,B naive,HMGB1,CXCR4,6.1170044
consensus,SingleCellSignalR magnitude,1,NK,NK,B2M,KLRD1,0.9774453
consensus,SingleCellSignalR magnitude,2,Pre-B large,CD8 T memory,HMGB1,CXCR4,0.9772372
consensus,SingleCellSignalR magnitude,3,CD8 T cytotoxic,NK,B2M,KLRD1,0.97716796
consensus,SingleCellSignalR magnitude,4,CD8 T memory,NK,B2M,KLRD1,0.9770009
consensus,SingleCellSignalR magnitude,5,Pre-B large,Pre-B large,HMGB1,CXCR4,0.9768676
consensus,SingleCellSignalR magnitude,6,CD4 T memory,NK,B2M,KLRD1,0.97650826
consensus,SingleCellSignalR magnitude,7,T proliferating,NK,B2M,KLRD1,0.976471
consensus,SingleCellSignalR magnitude,8,Monocyte non-classical,NK,B2M,KLRD1,0.97607845
consensus,SingleCellSignalR magnitude,9,Plasmacytoid DC,NK,B2M,KLRD1,0.97580993
consensus,SingleCellSignalR magnitude,10,Pre-B large,Pre-B small,HMGB1,CXCR4,0.9755607
consensus,SingleCellSignalR magnitude,11,Pre-B large,B naive,HMGB1,CXCR4,0.9755498
consensus,SingleCellSignalR magnitude,12,CD4 T naive,NK,B2M,KLRD1,0.9754196
consensus,SingleCellSignalR magnitude,13,Platelet,NK,B2M,KLRD1,0.9752437
consensus,SingleCellSignalR magnitude,14,Monocyte classical,NK,B2M,KLRD1,0.975134
consensus,SingleCellSignalR magnitude,15,T activated,NK,B2M,KLRD1,0.97504646
consensus,SingleCellSignalR magnitude,16,Pre-B small,NK,B2M,KLRD1,0.97490704
consensus,SingleCellSignalR magnitude,17,Pre-B large,T activated,HMGB1,CXCR4,0.9748805
consensus,SingleCellSignalR magnitude,18,Erythroid early,CD8 T memory,HMGB1,CXCR4,0.97483915
consensus,SingleCellSignalR magnitude,19,Dendritic cell,NK,B2M,KLRD1,0.9748133
consensus,SingleCellSignalR magnitude,20,B naive,NK,B2M,KLRD1,0.974657
consensus,SingleCellSignalR magnitude,21,Monocyte classical,NK,S100A9,ITGB2,0.9745373
consensus,SingleCellSignalR magnitude,22,Erythroid late,CD8 T memory,HMGB1,CXCR4,0.9744804
consensus,SingleCellSignalR magnitude,23,Pre-B large,T proliferating,HMGB1,CXCR4,0.97446805
consensus,SingleCellSignalR magnitude,24,Erythroid early,Pre-B large,HMGB1,CXCR4,0.97443163
consensus,SingleCellSignalR magnitude,25,Monocyte classical,NK,S100A8,ITGB2,0.9742185
consensus,SingleCellSignalR magnitude,26,Erythroid late,Pre-B large,HMGB1,CXCR4,0.9740672
consensus,SingleCellSignalR magnitude,27,T proliferating,CD8 T memory,HMGB1,CXCR4,0.97397244
consensus,SingleCellSignalR magnitude,28,Monocyte classical,Erythroid early,S100A9,CD36,0.9737535
consensus,SingleCellSignalR magnitude,29,T proliferating,Pre-B large,HMGB1,CXCR4,0.9735512
consensus,SingleCellSignalR magnitude,30,Pre-B large,CD4 T memory,HMGB1,CXCR4,0.97353584
consensus,SingleCellSignalR magnitude,31,Monocyte classical,Erythroid early,S100A8,CD36,0.9734251
consensus,SingleCellSignalR magnitude,32,Monocyte classical,T proliferating,S100A9,ITGB2,0.97342
consensus,SingleCellSignalR magnitude,33,Monocyte classical,Dendritic cell,S100A9,ITGB2,0.9732164
consensus,SingleCellSignalR magnitude,34,CD8 T cytotoxic,T proliferating,HLA-B,CD3D,0.9731762
consensus,SingleCellSignalR magnitude,35,Pre-B large,NK,B2M,KLRD1,0.9731679
consensus,SingleCellSignalR magnitude,36,Monocyte classical,T proliferating,S100A8,ITGB2,0.97308755
consensus,SingleCellSignalR magnitude,37,CD8 T cytotoxic,NK,HLA-B,KLRD1,0.97302127
consensus,SingleCellSignalR magnitude,38,Erythroid early,Pre-B small,HMGB1,CXCR4,0.9729909
consensus,SingleCellSignalR magnitude,39,Erythroid early,B naive,HMGB1,CXCR4,0.97297895
consensus,SingleCellSignalR magnitude,40,Monocyte classical,Dendritic cell,S100A8,ITGB2,0.9728815
