cell_type,library,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Granulocyte precursor,GO_BP,Triglyceride Metabolic Process (GO:0006641),1/32,0.27140582903435156,0.3575035760753309,4.797111827187015,6.256105678126389,LCP1
Granulocyte precursor,GO_BP,Triglyceride-Rich Lipoprotein Particle Remodeling (GO:0034370),1/5,0.04823937131474761,0.17749672348368936,33.624895572263995,101.93655281856934,LCP1
Granulocyte precursor,GO_BP,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),2/36,0.048765535794480744,0.17749672348368936,7.335633190961194,22.158977880782313,TMSB4X;PYCARD
Granulocyte precursor,GO_BP,Type B Pancreatic Cell Proliferation (GO:0044342),1/3,0.029227917770355275,0.14268358506136275,60.53082706766917,213.8330724287959,SERPINB1
Granulocyte precursor,GO_BP,U2-type Prespliceosome Assembly (GO:1903241),2/23,0.021275724025475312,0.116580055291028,11.778747583621346,45.35039935485692,SNRPE;SNRPG
Granulocyte precursor,GO_BP,Ubiquitin-Dependent ERAD Pathway (GO:0030433),5/70,0.0006319990494914908,0.01155998261411651,8.61750063450538,63.48187551382228,SEC61B;HSP90B1;CALR;CANX;HSPA5
Granulocyte precursor,GO_BP,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),5/347,0.2569141504999583,0.3456619622648415,1.6252655552859037,2.2087574969532504,RNF130;PSMB3;PSMA4;RBX1;TNFSF13B
Granulocyte precursor,GO_BP,Unsaturated Fatty Acid Metabolic Process (GO:0033559),1/40,0.32691010463854264,0.4013467299937928,3.82402208051775,4.2755245788097485,GSTP1
Granulocyte precursor,GO_BP,Urogenital System Development (GO:0001655),1/7,0.06688033269427238,0.19445086668656658,23.27646038172354,62.95934167793322,ANXA1
Granulocyte precursor,GO_BP,V(D)J Recombination (GO:0033151),2/12,0.005957491909558897,0.048636021521540146,24.131582103874294,123.62864599574395,HMGB1;HMGB2
Granulocyte precursor,GO_BP,Vacuolar Acidification (GO:0007035),2/28,0.03078695730251606,0.147797851502112,9.553966066251604,33.25414710921767,GRN;ATP6V0B
Granulocyte precursor,GO_BP,Vacuolar Transport (GO:0007034),2/44,0.06961611007682254,0.2003890021135629,5.952437398133057,15.861812746513984,GRN;PSAP
Granulocyte precursor,GO_BP,Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),1/24,0.2113493142081956,0.31258931323525346,6.432730763077908,9.998026738751566,HSPB1
Granulocyte precursor,GO_BP,Very-Low-Density Lipoprotein Particle Remodeling (GO:0034372),1/5,0.04823937131474761,0.17749672348368936,33.624895572263995,101.93655281856934,LCP1
Granulocyte precursor,GO_BP,Vesicle Fusion (GO:0006906),1/74,0.5195290515550104,0.5565007260911713,2.05160861337016,1.3434600955049607,VAMP8
Granulocyte precursor,GO_BP,Vesicle Organization (GO:0016050),3/86,0.05302726060359723,0.18710519911379397,4.254331842643826,12.494756274826738,VAMP8;ANXA2;SRGN
Granulocyte precursor,GO_BP,Vesicle-Mediated Transport (GO:0016192),5/375,0.309867814756168,0.38800605920508036,1.5003123587051437,1.757780177096021,ANXA2;BLOC1S1;STXBP2;AP2S1;VAMP8
Granulocyte precursor,GO_BP,"Wound Healing, Spreading Of Cells (GO:0044319)",2/20,0.01628838961035993,0.09685894233321028,13.690857103955342,56.36940317701144,LCP1;FLNA
Granulocyte precursor,GO_BP,mRNA Catabolic Process (GO:0006402),1/42,0.3401157167453945,0.4112696323825063,3.6393695081076185,3.9249485621030225,LSM5
Granulocyte precursor,GO_BP,mRNA Export From Nucleus (GO:0006406),2/59,0.11463346731156933,0.24395487520650616,4.3963421312014015,9.52254511796876,HNRNPA2B1;ENY2
Granulocyte precursor,GO_BP,mRNA Metabolic Process (GO:0016071),3/80,0.044400904316693635,0.17749672348368936,4.585071457737852,14.280184157553034,SRSF9;HNRNPA2B1;LSM5
Granulocyte precursor,GO_BP,mRNA Processing (GO:0006397),6/202,0.015071726773779744,0.09307113328252875,3.389947474113176,14.220608254330338,SNRPE;HNRNPA3;LSM5;SNRPG;SRSF9;HNRNPA2B1
Granulocyte precursor,GO_BP,mRNA Splice Site Recognition (GO:0006376),1/26,0.2268100254595254,0.32568037234819047,5.927613150523367,8.794458818211803,SRSF9
Granulocyte precursor,GO_BP,"mRNA Splicing, Via Spliceosome (GO:0000398)",6/203,0.015407698300247389,0.09474095337811693,3.3726139728612803,14.073540392306239,SNRPE;HNRNPA3;LSM5;SNRPG;SRSF9;HNRNPA2B1
Granulocyte precursor,GO_BP,mRNA Stabilization (GO:0048255),1/45,0.35944229903487906,0.4253842113885342,3.3935118695615443,3.4722468359196186,HNRNPD
Granulocyte precursor,GO_BP,mRNA Transport (GO:0051028),1/56,0.4256099626674596,0.47972417788960925,2.7194337194337193,2.323027122016403,HNRNPA2B1
Granulocyte precursor,GO_BP,miRNA Catabolic Process (GO:0010587),1/8,0.07606412942972562,0.20582896446807777,20.171929824561403,51.966491639494244,ELOB
Granulocyte precursor,GO_BP,miRNA Processing (GO:0035196),1/29,0.24943741515037812,0.341646507006916,5.302862419205909,7.363274956864226,HNRNPA2B1
Granulocyte precursor,GO_BP,poly(A)+ mRNA Export From Nucleus (GO:0016973),1/19,0.17133854181412753,0.27849740486098346,8.17333875228612,14.418700526540675,ENY2
Granulocyte precursor,GO_BP,protein-DNA Complex Assembly (GO:0065004),1/38,0.3134415692948887,0.38877516534859585,4.028370927318296,4.673483585845717,HMGB2
Granulocyte precursor,GO_BP,protein-DNA Complex Disassembly (GO:0032986),1/16,0.14636923182674635,0.26176180691788176,9.756730536017463,18.748756482343055,SET
Granulocyte precursor,GO_BP,protein-DNA Complex Organization (GO:0071824),5/50,0.0001296798957798124,0.0038242336612618146,12.417779151794496,111.14460566196955,HMGN2;HMGN1;HMGN3;NUCKS1;HMGB2
Granulocyte precursor,GO_BP,protein-RNA Complex Assembly (GO:0022618),3/125,0.1256660047314124,0.25352898390732487,2.894249547920434,6.003043006411202,SNRPE;SRSF9;SNRPG
Granulocyte precursor,GO_BP,tRNA Transcription (GO:0009304),1/8,0.07606412942972562,0.20582896446807777,20.171929824561403,51.966491639494244,POLR2L
Granulocyte precursor,GO_BP,tRNA Transcription By RNA Polymerase III (GO:0042797),1/7,0.06688033269427238,0.19445086668656658,23.27646038172354,62.95934167793322,POLR2L
HSPC,GO_BP,'De Novo' AMP Biosynthetic Process (GO:0044208),1/4,0.03878041058442312,0.18540999221019813,43.234156820622985,140.5040940045136,PAICS
HSPC,GO_BP,'De Novo' Post-Translational Protein Folding (GO:0051084),1/30,0.2568324847089732,0.35945572112046464,5.122849496622913,6.96364924115511,CCT2
HSPC,GO_BP,2-Oxoglutarate Metabolic Process (GO:0006103),1/12,0.11190864079338264,0.2501711935824765,13.15299117358614,28.806003574890045,IDH2
HSPC,GO_BP,3'-UTR-mediated mRNA Stabilization (GO:0070935),1/13,0.12065141849772025,0.2587792782960861,12.10015037593985,25.58999975370475,YBX3
HSPC,GO_BP,7-Methylguanosine Cap Hypermethylation (GO:0036261),2/7,0.0019579823201535673,0.023107719273884445,46.080833524158464,287.3527401501602,SNRPE;SNRPD1
HSPC,GO_BP,ADP Transport (GO:0015866),1/6,0.05760571121225541,0.19806688107100942,27.50991114149009,78.51696070971622,SLC25A5
HSPC,GO_BP,AMP Biosynthetic Process (GO:0006167),1/6,0.05760571121225541,0.19806688107100942,27.50991114149009,78.51696070971622,PAICS
HSPC,GO_BP,ATP Biosynthetic Process (GO:0006754),6/22,5.5060000374092516e-08,4.508037530628825e-06,40.73576380774324,680.891869256378,ATP5F1B;ATP5PF;ATP5MC3;ATP5F1A;ATP5MC2;ATP5F1C
HSPC,GO_BP,ATP Metabolic Process (GO:0046034),5/30,1.0230153915728731e-05,0.0005154423703694091,22.179278872674388,254.84370540856952,ATP5F1B;PARP1;OLA1;ATP5F1A;ATP5F1C
HSPC,GO_BP,ATP Transport (GO:0015867),1/10,0.09416278010015013,0.23813367168184685,15.92362485160269,37.62323078239981,SLC25A5
HSPC,GO_BP,Actin Filament Bundle Assembly (GO:0051017),1/30,0.2568324847089732,0.35945572112046464,5.122849496622913,6.96364924115511,AIF1
HSPC,GO_BP,Actin Filament Bundle Organization (GO:0061572),1/29,0.24943741515037812,0.3547915459793652,5.302862419205909,7.363274956864226,AIF1
HSPC,GO_BP,Actin Filament Organization (GO:0007015),1/124,0.7076419951262471,0.7236619934546321,1.2179537913609937,0.42118908945708117,AIF1
HSPC,GO_BP,Actin Polymerization Or Depolymerization (GO:0008154),1/51,0.39642194209092224,0.4649174074656295,2.989429018089779,2.766047296775173,AIF1
HSPC,GO_BP,Actin-Myosin Filament Sliding (GO:0033275),1/4,0.03878041058442312,0.18540999221019813,43.234156820622985,140.5040940045136,MYL6B
HSPC,GO_BP,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),3/62,0.02320801743316702,0.1394610221901321,5.977513030528667,22.494920629868517,BEX3;ANP32B;HSPD1
HSPC,GO_BP,Activation Of Protein Kinase Activity (GO:0032147),2/70,0.1511581377111381,0.2804349769838357,3.688337715346853,6.968851210505693,PPIA;TXN
HSPC,GO_BP,Activation Of Protein Kinase B Activity (GO:0032148),2/20,0.01628838961035993,0.11055849942783164,13.690857103955342,56.36940317701144,PPIA;TXN
HSPC,GO_BP,Adenine Nucleotide Transport (GO:0051503),1/17,0.15477441859489557,0.2804349769838357,9.164957849168376,17.099855416577334,SLC25A5
