source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Dendritic cell,Platelet,ADAM15,ITGB3,0.30906814,0.0,0.08530129,4.001459822682377,0.9248759587130302,0.20779158,0.7919344,0.00031819981675418395,1.0
Dendritic cell,Plasmacytoid DC,VCAN,ITGA4,0.32442153,0.0,0.07081378,0.10432882009943573,-0.1408465986378657,0.004622259,0.7761826,1.0,1.0
Dendritic cell,Plasmacytoid DC,TGFB1,LPP,0.24448822,0.0,0.050295442,0.1428732274486309,-0.0211462031649729,0.005051603,0.74506974,0.8298827416824268,1.0
Dendritic cell,Plasmacytoid DC,TGFB1,ITGB1,0.30524755,0.114,0.09183642,0.04508420502034725,-0.1759964905851954,0.0020769646,0.79795074,1.0,1.0
Dendritic cell,Plasmacytoid DC,SIRPA,CD47,0.38157088,0.0,0.079971515,0.40058661668611756,0.2531214303432748,0.015610641,0.7865689,0.13483981954426552,1.0
Dendritic cell,Plasmacytoid DC,SEMA4A,PLXNB2,0.26528352,0.0,0.06756943,1.0637387741211817,0.49102667182644266,0.078051314,0.77208257,0.058529996949489675,1.0
Dendritic cell,Plasmacytoid DC,SELPLG,ITGB2,0.24124517,1.0,0.056899272,-0.04829966420157099,-0.411070432250965,0.001912066,0.75660795,1.0,1.0
Dendritic cell,Plasmacytoid DC,PSEN1,CD44,0.38361406,0.878,0.073709294,0.03725396800544756,-0.20104209778844434,0.0048776595,0.7796443,1.0,1.0
Dendritic cell,Plasmacytoid DC,NUCB2,ERAP1,0.2314753,0.005,0.048255987,0.18206896479680557,0.0048182874822217114,0.0043500466,0.74111855,1.0,1.0
T proliferating,CD8 T memory,BAG6,NCR3,0.23918328,0.0,0.057059254,0.33565336052559364,0.30318165003402553,0.012670208,0.7568664,0.1736216473990153,1.0
T proliferating,CD8 T memory,ADAM17,ITGB1,0.21084416,0.315,0.04257401,0.04538222323976018,-0.04338778927650072,0.0026092285,0.72892046,1.0,1.0
T proliferating,CD8 T cytotoxic,VCAM1,ITGA4_ITGB1,0.20653176,0.0,0.038103428,0.5672571921058789,0.3517828755407867,0.02875303,0.71782184,0.06161384995328396,1.0
T proliferating,CD8 T cytotoxic,TOR2A,ATP5F1B,0.33180717,0.042,0.09455829,0.18350094460367386,0.11564918176909122,0.0030135342,0.800295,1.0,1.0
T proliferating,CD8 T cytotoxic,TNF,VSIR,0.25487006,0.069,0.045313872,0.16746584958318023,0.028061342013124435,0.008938485,0.7350382,1.0,1.0
T proliferating,CD8 T cytotoxic,TGFB1,TGFBR3,0.31765306,0.0,0.090469494,0.4641863989206212,0.3327490110183459,0.019090924,0.7967391,0.07228844001223837,1.0
Dendritic cell,Plasmacytoid DC,LRPAP1,SORL1,0.297926,0.0,0.077140585,0.16593925692804495,0.03978322234730902,0.0054934695,0.783528,0.7167822505841597,1.0
Dendritic cell,Plasmacytoid DC,LGALS9,CD47,0.6785513,0.0,0.45876664,0.7136893616800608,0.5419466255782341,0.009090618,0.89823824,0.08440115468320222,1.0
Dendritic cell,Plasmacytoid DC,ICAM1,SPN,0.25037268,0.0,0.048702404,0.4219463487857598,0.2657667997470374,0.014441459,0.742001,0.12411054041474594,1.0
Dendritic cell,Plasmacytoid DC,ICAM1,IL2RG,0.2772566,0.0,0.055806123,0.2825756692787818,0.028258212841551056,0.013002811,0.75481737,0.6214166366240716,1.0
Dendritic cell,Plasmacytoid DC,HLA-F,LILRB1,0.20858599,0.397,0.039078243,0.16826415699750819,-0.11942753788282637,0.007882883,0.7203732,1.0,1.0
Dendritic cell,Plasmacytoid DC,CXCL8,CD79A,0.20360032,1.0,0.038468916,-0.10029021313554862,-0.8823907633368799,0.0023833883,0.71878767,1.0,1.0
Dendritic cell,Plasmacytoid DC,CLEC11A,ITGB1,0.27047485,0.0,0.073153295,0.21860046739099223,0.07760469760484032,0.0033625057,0.7789932,1.0,1.0
Dendritic cell,Plasmacytoid DC,CD55,ADGRE5,0.29007453,0.029,0.061926328,0.050581760227416735,-0.17929687478630008,0.0035565244,0.76431847,1.0,1.0
Dendritic cell,Plasmacytoid DC,CD22,PTPRC,0.28449985,1.0,0.048728116,-0.19562069356269232,-0.5924751567934643,0.0025834744,0.7420515,1.0,1.0
Dendritic cell,Plasmacytoid DC,CD14,ITGB2,0.21490005,1.0,0.04228826,-0.19125332977165238,-0.6743544687053358,0.0016782387,0.7282546,1.0,1.0
Dendritic cell,Plasmacytoid DC,CD14,ITGB1,0.21057323,0.903,0.040968582,-0.04475616076183372,-0.3250353114900328,0.0024452105,0.7251062,1.0,1.0
T proliferating,CD8 T memory,FAM3C,LAMP1,0.22794351,0.062,0.042450722,0.09218270168413512,0.06892224313912504,0.0036120682,0.7286338,1.0,1.0
T proliferating,CD8 T memory,FAM3C,CLEC2D,0.35759112,0.003,0.07627241,0.16143019072879516,0.18278122453233953,0.0067740604,0.78256655,1.0,1.0
T proliferating,CD8 T memory,CD70,CD27,0.27916127,0.0,0.07398302,0.9744002480542379,0.42122125110072917,0.081255294,0.7799626,0.058529996949489675,1.0
T proliferating,CD8 T memory,CD55,ADGRE5,0.2514704,0.45,0.048121113,0.039917171866911405,-0.026126794960214528,0.0027636695,0.74085003,1.0,1.0
Dendritic cell,Plasmacytoid DC,APP,LRP10,0.24193946,0.0,0.055991102,0.2948839291236645,0.17107125492048475,0.005666125,0.75512344,0.3513679292722503,1.0
Dendritic cell,Plasmacytoid DC,ADAM28,ITGA4,0.21751879,0.0,0.041126177,0.2317710425374288,0.06949382970380469,0.008175572,0.7254887,0.48922411851629094,1.0
Dendritic cell,Plasmacytoid DC,ADAM15,ITGB1,0.23830578,0.0,0.055869084,0.31563578448551044,0.05813308851512458,0.0077167437,0.7549217,0.5228715761942779,1.0
Dendritic cell,NK,TIMP2,ITGB1,0.275331,0.0,0.05762441,0.20927888008722495,0.2252989027077805,0.0064765285,0.7577721,0.514040727641098,1.0
Dendritic cell,NK,TIMP2,CD44,0.2654364,1.0,0.05484428,-0.07931964058980011,-0.2770504722442385,0.0035455036,0.753205,1.0,1.0
Dendritic cell,NK,TGFB1,TGFBR3,0.2747372,0.0,0.070976585,0.38870572592330316,0.24402543752870293,0.014977519,0.776382,0.14584365934608554,1.0
Dendritic cell,NK,SIRPA,CD47,0.3392361,0.0,0.06935417,0.342824103169665,0.35643003719830463,0.013538109,0.7743683,0.16167835768266053,1.0
Dendritic cell,NK,SELPLG,SELL,0.31280422,0.993,0.08626572,0.02340405018175347,-0.02694384748376283,0.0038473103,0.7928592,1.0,1.0
Dendritic cell,NK,PSEN1,CD44,0.25149092,1.0,0.04395606,-0.09826037950769262,-0.2797073472170289,0.0029087604,0.73206514,1.0,1.0
Dendritic cell,NK,LGALS9,CD47,0.6362165,0.0,0.39785892,0.6559268481636082,0.645255232433264,0.007883711,0.891541,0.13518473950200743,1.0
Dendritic cell,NK,ICAM2,ITGAL_ITGB2,0.24495414,0.0,0.051433884,0.28528498913750905,0.295387985506134,0.0074137617,0.7471896,0.2782566025285528,1.0
Dendritic cell,NK,ICAM1,SPN,0.29372126,0.0,0.06015669,0.5028220060447395,0.4943076383702001,0.017837938,0.7616972,0.058529996949489675,1.0
Dendritic cell,NK,ICAM1,ITGAL_ITGB2,0.23481975,0.0,0.04459275,0.5425790688269876,0.47782992855293893,0.034748558,0.7334732,0.058529996949489675,1.0
T proliferating,CD8 T memory,HLA-F,CD8B,0.6694968,0.0,0.43081576,0.5435707002300709,0.6141054047833869,0.024082016,0.8953291,0.058529996949489675,1.0
Dendritic cell,NK,HBEGF,CD44,0.3112848,1.0,0.09064136,0.16848240434580358,-0.11200344068738632,0.00788585,0.7968927,1.0,1.0
Dendritic cell,NK,GNAI2,S1PR5,0.65883845,0.0,0.42833713,1.123778947754963,1.0120332679434625,0.058285087,0.89505845,0.009586405931866122,1.0
Dendritic cell,NK,FAM3C,LAMP1,0.27998933,0.0,0.04408301,0.15364774459903366,0.22585419795107442,0.003750957,0.7323479,0.8626733069780297,1.0
Dendritic cell,NK,COL9A2,CD44,0.27710015,1.0,0.06395097,0.369629279290438,-0.14684219725483444,0.016264508,0.7672038,1.0,1.0
Dendritic cell,NK,CLEC11A,ITGB1,0.3412388,0.0,0.11169181,0.32462559418967707,0.36381248800229815,0.0051339366,0.8132704,0.44886596364958786,1.0
Dendritic cell,NK,CD14,ITGB1,0.2813372,0.007,0.06255159,0.06126896603685112,-0.03882752109257498,0.003733393,0.76522213,1.0,1.0
Dendritic cell,NK,CD14,ITGA4,0.20588112,0.031,0.03953749,0.07116714782835057,-0.035989120299945165,0.0046235556,0.72154844,1.0,1.0
