source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
T proliferating,T proliferating,HLA-A,CD8A,2.300961,0.0,3.742687,1.153832567473021,1.0529797962267624,0.023933047,0.9618492,0.03432563835804334,0.006276372724047992
CD4 T memory,NK,B2M,KLRC1,2.82615,0.0,3.194731,1.2021758879102376,1.1591218489604755,0.03686405,0.95883614,0.005433979773197327,0.006390478014964849
NK,T proliferating,HLA-C,CD8A,2.2914937,0.0,3.7227056,1.2108503200407592,1.3189027339078572,0.026140705,0.9617508,0.025101997785173594,0.0064767184219044135
T proliferating,NK,B2M,KLRC1,2.8180175,0.0,3.1843698,1.1924668994799883,1.1311766907121497,0.036744498,0.958772,0.005530400085697048,0.006563525905862573
CD8 T memory,T proliferating,HLA-A,CD8A,2.2873077,0.0,3.7138712,1.141672078469075,1.1785690257547863,0.023748782,0.9617071,0.03532819883426548,0.006650900248003475
NK,T proliferating,HLA-A,CD8A,2.2850444,0.0,3.709094,1.1396564597456018,1.1725159244119832,0.023718232,0.9616834,0.03542025629841913,0.006827348631490077
Granulocyte precursor,Monocyte non-classical,S100A9,CD68,2.2835653,0.0,4.1472473,1.6654962677532703,1.7196211757674635,0.06878482,0.96368843,0.0003215148100381971,0.006856976629514976
Granulocyte precursor,Monocyte non-classical,S100A9,ITGB2,2.2829006,0.0,4.142838,0.9975142825167188,1.1810731662820804,0.025595948,0.96366984,0.027304226185772253,0.006886668439501741
Plasmacytoid DC,Monocyte non-classical,APP,CD74,2.2748504,0.0,4.524367,2.0934502499617027,1.4154501534670059,0.03166018,0.9651809,0.010442908378073214,0.007006061821677378
Dendritic cell,T activated,LGALS1,CD69,2.268873,0.0,4.482475,1.2011388498195976,1.3547091663258877,0.023153946,0.96502423,0.03878821371274516,0.007187038067878534
Granulocyte precursor,CD8 T memory,LGALS1,CD69,2.2619536,0.0,4.2418017,1.1747300813423038,1.982371428961402,0.021910762,0.9640808,0.046558167524322125,0.007339579379659863
Monocyte non-classical,NK,B2M,KLRC1,2.7347183,0.0,3.0782473,1.0930029961189822,1.0233102328606658,0.035519946,0.95809686,0.008927554077696,0.007555773677934714
Granulocyte precursor,CD4 T memory,S100A8,CD69,2.2469208,0.0,3.406428,0.9081490608221524,1.2208517764803175,0.027177785,0.96008384,0.025065066730603637,0.007649369022679016
Granulocyte precursor,Plasmacytoid DC,S100A8,CD68,2.2357898,0.0,3.3278778,1.4524282626563325,1.653048784411968,0.061309908,0.9596344,0.0007643054281638085,0.007933539574469958
Granulocyte precursor,Pre-B small,S100A8,CD69,2.2335973,0.0,3.312406,0.8944063950410924,1.4040671795430208,0.026427642,0.95954406,0.027382293839920215,0.00806146572843427
NK,CD8 T memory,HLA-C,CD8A,2.233236,0.0,3.311674,1.1143730739591797,1.5473664421004845,0.023254458,0.9595398,0.038060376570309314,0.008093604492855205
Plasmacytoid DC,NK,B2M,KLRC1,2.6800728,0.0,3.0086296,1.0277469566954194,0.9375790836306455,0.034716625,0.9576352,0.014388526483275878,0.008287747022298297
CD8 T cytotoxic,T proliferating,HLA-A,CD8A,2.225899,0.0,3.5842648,1.0869738298782876,1.0839912121415631,0.022919998,0.96104765,0.040320382500643126,0.00848414064471658
Pre-B large,NK,HLA-B,KLRD1,2.2232237,0.0,4.904854,1.0473738420245935,1.1131758406421919,0.021474754,0.9665125,0.04946503256501777,0.008583181068701777
Granulocyte precursor,CD8 T cytotoxic,S100A9,ITGB2,2.2227516,0.0,3.7438433,0.9317829580501104,1.2079038743498707,0.023130814,0.9618548,0.038837049035761316,0.00864951964027227
Monocyte classical,CD4 T naive,S100A8,CD69,2.8633926,0.0,2.9521756,1.136580001346672,2.697915350645993,0.023553586,0.95724934,0.03648994321476869,0.008716110014222995
CD8 T cytotoxic,T proliferating,HLA-C,CD8A,2.2096837,0.0,3.5500414,1.1419138593093434,1.2118061800673958,0.024928262,0.96086764,0.02970892057729238,0.008951137191613891
Monocyte classical,Erythroid early,S100A12,CD36,2.1938396,0.0,4.3760004,2.2747923586619647,3.3667891828056766,0.19246165,0.96461624,5.432327373268655e-05,0.009569519837826352
CD4 T naive,NK,B2M,KLRC1,2.603837,0.0,2.9115055,0.9367082914359248,0.8033828310501456,0.03359591,0.9569646,0.03241899899047476,0.009569519837826352
NK,Dendritic cell,B2M,CD1C,2.991069,0.0,2.8945782,1.9359226420188023,1.1875969861724622,0.053198103,0.9568444,0.0035923466461213346,0.009886275219237508
Monocyte classical,Platelet,S100A9,CD68,2.9159577,0.0,2.8793445,1.5134949945332736,3.5600300450164264,0.047755815,0.95673525,0.0016236891145838478,0.009957348191470206
NK,T proliferating,HLA-C,CD8B,2.1806087,0.0,2.9403663,0.9576926864214285,1.0292938630972444,0.023060614,0.95716727,0.03927833142413164,0.010064425810512742
Platelet,NK,B2M,KLRC1,2.5706606,0.0,2.8692389,0.8970967885567107,1.0833441918678561,0.033108193,0.9566625,0.026916029786881773,0.010064425810512742
Platelet,T proliferating,PF4,CXCR3,2.5867689,0.0,2.8544621,8.472266546746845,4.128345905312782,0.33457825,0.9565553,4.974288341325539e-08,0.010316444108545925
Monocyte classical,NK,B2M,KLRC1,2.5503402,0.0,2.8433511,0.8728375114437713,0.7899530648726096,0.032809477,0.9564742,0.034779062269606094,0.01042538193694862
NK,CD8 T memory,HLA-C,CD8B,2.1645784,0.0,2.8272648,0.933407699752864,1.3509283762979138,0.022173585,0.9563559,0.044931675540257954,0.010608187656226446
CD8 T cytotoxic,Dendritic cell,B2M,CD1C,2.9237447,0.0,2.823079,1.8555238215576895,1.1130101823378895,0.051884055,0.956325,0.005613930087690136,0.010681745267276199
T activated,NK,B2M,KLRC1,2.534305,0.0,2.8229227,0.8536852045571043,0.7606746289773811,0.032573752,0.95632386,0.04209595249350679,0.010718615907445756
Monocyte classical,CD8 T cytotoxic,S100A8,CD69,2.8508377,0.0,2.8227582,1.1236303101058513,2.712382079742174,0.022521043,0.9563226,0.042767897299192566,0.010755548509358316
Monocyte classical,Platelet,LGALS1,ITGB1,2.161636,0.0,3.2585027,1.3507095208253974,2.4250281214258087,0.021774378,0.9592244,0.04422187369471936,0.01090390065105273
Monocyte classical,Platelet,S100A8,CD68,2.8492823,0.0,2.806725,1.5067299330542578,3.487678211049724,0.05170865,0.9562035,0.0012011845168576425,0.01112828524420105
CD8 T memory,Dendritic cell,B2M,CD1C,2.8843746,0.0,2.7812676,1.8085153659924973,1.0325587479145348,0.05111562,0.9560123,0.008353167105720394,0.011583735055865694
CD8 T cytotoxic,CD8 T memory,HLA-C,CD8A,2.151426,0.0,3.1580744,1.045436613227764,1.4402698882600231,0.022175884,0.9586078,0.04487809095347157,0.011583735055865694
CD8 T memory,T proliferating,HLA-C,CD8A,2.151103,0.0,3.4264042,1.0925512695122146,1.1143869102808637,0.024060085,0.9601958,0.03383125501401264,0.01162209055607777
Monocyte classical,Dendritic cell,TNFSF13B,HLA-DPB1,2.1503198,0.0,2.9544983,1.619549247940372,2.3171245470426296,0.035723064,0.95726544,0.006251771172189001,0.01173752998966391
Granulocyte precursor,Monocyte classical,S100A8,CD36,2.150963,0.0,2.7292705,1.2178199788653625,1.7383992215248405,0.042689115,0.9556138,0.003190246615132924,0.012244180624350178
Granulocyte precursor,Plasmacytoid DC,S100A9,CD68,2.129946,0.0,3.1282215,1.375191792985537,1.4432459965764592,0.0518836,0.95841897,0.0011709352680849489,0.012721104722883118
Plasmacytoid DC,T proliferating,APP,CD74,2.1183882,0.0,4.0649104,2.004440789318057,1.1265760370199345,0.028445039,0.96333593,0.016663362497977244,0.01312531246743466
CD4 T memory,Dendritic cell,B2M,CD1C,2.7731543,0.0,2.6631505,1.6757040828435728,0.8480844308955111,0.0489448,0.95509076,0.024880935045753404,0.013453102711379537
T proliferating,Dendritic cell,B2M,CD1C,2.7650216,0.0,2.6545136,1.6659950944133237,0.8201392726471852,0.048786066,0.955021,0.02954454682051542,0.01357703888352292
Monocyte classical,Dendritic cell,S100A9,CD36,2.8896255,0.0,2.6008914,1.409269939907073,3.038774593093178,0.036623694,0.9545807,0.005641955437961882,0.014247349040928205
CD8 T cytotoxic,T proliferating,HLA-C,CD8B,2.0987988,0.0,2.8039882,0.8887562256900127,0.922197309256783,0.021991031,0.9561831,0.04590316017610789,0.014460035269828461
Monocyte classical,Plasmacytoid DC,S100A9,CD36,2.8861978,0.0,2.5646448,1.4032752618918491,3.1258056670759595,0.036113296,0.9542755,0.005985414629804473,0.014933334447721016
Granulocyte precursor,Monocyte classical,S100A8,CD68,2.1269991,0.0,2.5601616,1.2468387094396471,1.7373699595872265,0.047166176,0.9542373,0.002593394532403191,0.015020185311577162
T proliferating,T proliferating,HLA-C,CD8A,2.091185,0.0,3.2999446,1.0420596305722756,0.8935568552697815,0.023172094,0.95947087,0.03864194268107567,0.015150915812883494
Granulocyte precursor,Dendritic cell,TNFSF13B,HLA-DPB1,2.091528,0.0,2.5497327,1.5135684780641285,1.9227063250097582,0.03082901,0.9541481,0.011570275794087355,0.01528219863139781
Monocyte classical,Dendritic cell,S100A8,CD36,2.8229501,0.0,2.535295,1.402504878428057,2.966422759126476,0.0396551,0.9540237,0.0038816995517562667,0.015458096128881625
Monocyte classical,Plasmacytoid DC,S100A8,CD36,2.8195224,0.0,2.4999626,1.3965102004128331,3.0534538331092573,0.039102457,0.95371497,0.004151363730980225,0.015991641274063904
Granulocyte precursor,Monocyte classical,S100A9,CD36,2.0451193,0.0,2.5655277,1.140583509194567,1.5285964336893318,0.036125727,0.954283,0.00595628553701143,0.018261175209970858
Platelet,Dendritic cell,B2M,CD1C,2.5176647,0.0,2.391818,1.370624983490046,0.7723067738028917,0.04395811,0.95272905,0.03893483722593637,0.019180349728011848
Granulocyte precursor,Erythroid late,S100A8,CD36,2.1030152,0.0,2.390911,1.1339660108539615,1.5516617255504839,0.037396763,0.9527205,0.005447686305853787,0.019229330855074108
Granulocyte precursor,Monocyte classical,S100A9,CD68,2.0211554,0.0,2.4065645,1.1696022397688517,1.5275671717517179,0.039914444,0.95286727,0.004232261727609181,0.020372551244223477
CD8 T cytotoxic,Monocyte non-classical,HLA-B,LILRB2,2.198551,0.0,2.3467953,1.2260387198134195,1.1458651368604267,0.033508476,0.9522993,0.008066371551781614,0.020726809790761233
Platelet,NK,CLEC1B,KLRB1,2.0078943,0.0,3.375256,6.633996983812207,3.2413202228503772,0.33831498,0.95990735,1.821564054923561e-07,0.021392534958878957
Erythroid early,Erythroid early,CDH1,LRP5,0.09517125,0.0,0.0068058586,1.5459684553311654,0.16002248661570606,0.19253264,0.5180977,0.022584915573230953,0.02184722640368436
