gene,bin,scaled,lineage
TPM2,18,0.22181913,Plasmacytoid DC
TPM2,19,-0.7134995,Plasmacytoid DC
TPM2,20,1.5427272,Plasmacytoid DC
TPM2,21,-1.205913,Plasmacytoid DC
TPM2,22,0.68063265,Plasmacytoid DC
TPM2,23,1.8096353,Plasmacytoid DC
TPM2,24,0.99332,Plasmacytoid DC
TPM2,25,0.1789563,Plasmacytoid DC
TPM2,26,0.7516646,Plasmacytoid DC
TPM2,27,1.4015065,Plasmacytoid DC
TPM2,28,-0.56671304,Plasmacytoid DC
TPM2,29,0.90347886,Plasmacytoid DC
TPM2,30,0.16779472,Plasmacytoid DC
TPM2,31,1.5942403,Plasmacytoid DC
TPM2,32,0.23527269,Plasmacytoid DC
TPM2,33,0.61886495,Plasmacytoid DC
TPM2,34,-0.3832471,Plasmacytoid DC
TPM2,35,0.13010734,Plasmacytoid DC
TPM2,36,-1.2626349,Plasmacytoid DC
TPM2,37,1.1312734,Plasmacytoid DC
TPM2,38,-1.3508731,Plasmacytoid DC
TPM2,39,0.827731,Plasmacytoid DC
ASIP,0,-1.2718704,Plasmacytoid DC
ASIP,1,-1.2718704,Plasmacytoid DC
ASIP,2,-1.2718704,Plasmacytoid DC
ASIP,3,-1.2718704,Plasmacytoid DC
ASIP,4,-0.5861695,Plasmacytoid DC
ASIP,5,-0.57696426,Plasmacytoid DC
ASIP,6,-0.5937968,Plasmacytoid DC
ASIP,7,-1.2718704,Plasmacytoid DC
ASIP,8,0.09960629,Plasmacytoid DC
ASIP,9,-1.2718704,Plasmacytoid DC
ASIP,10,1.0925745,Plasmacytoid DC
ASIP,11,-1.2718704,Plasmacytoid DC
ASIP,12,-1.2718704,Plasmacytoid DC
ASIP,13,0.05486423,Plasmacytoid DC
ASIP,14,-0.5134899,Plasmacytoid DC
ASIP,15,-0.56412405,Plasmacytoid DC
ASIP,16,1.1977265,Plasmacytoid DC
ASIP,17,0.17172398,Plasmacytoid DC
ASIP,18,0.7936387,Plasmacytoid DC
ASIP,19,-0.4889978,Plasmacytoid DC
ASIP,20,-1.2718704,Plasmacytoid DC
ASIP,21,-0.56704533,Plasmacytoid DC
ASIP,22,0.2983052,Plasmacytoid DC
ASIP,23,0.14808644,Plasmacytoid DC
ASIP,24,1.3633441,Plasmacytoid DC
ASIP,25,0.54213107,Plasmacytoid DC
ASIP,26,2.4629083,Plasmacytoid DC
ASIP,27,0.44083,Plasmacytoid DC
ASIP,28,-0.15176843,Plasmacytoid DC
ASIP,29,0.44302124,Plasmacytoid DC
ASIP,30,-0.5165414,Plasmacytoid DC
ASIP,31,0.20825449,Plasmacytoid DC
ASIP,32,0.8454063,Plasmacytoid DC
ASIP,33,0.879203,Plasmacytoid DC
ASIP,34,2.0967512,Plasmacytoid DC
ASIP,35,0.43265268,Plasmacytoid DC
ASIP,36,2.1570015,Plasmacytoid DC
