cell_type,library,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
B naive,GO_BP,Regulation Of T Cell Activation (GO:0050863),0.6727443127527234,1.5275169135627231,0.022727272727272728,0.36113458285551564,0.988,11/55,1.19%,HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DQA1;LAPTM5;HLA-DMA;HLA-DMB;HLA-DRB5;HLA-DOB;HLA-DOA;HLA-DQA2
B naive,GO_BP,Regulation Of AMPA Receptor Activity (GO:2000311),0.8417780385432106,1.5236627749879512,0.018867924528301886,0.35902836263690346,0.991,1/16,0.11%,MEF2C
B naive,GO_BP,NADH Dehydrogenase Complex Assembly (GO:0010257),-0.8228777713126099,-1.5187921794680332,0.0,0.01415702613594324,0.134,34/52,7.32%,NDUFS5;NDUFB1;NDUFB7;NDUFB2;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA13;NDUFA2;NDUFB10;NDUFS8;NDUFB11;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFAF3;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;NDUFA8;NDUFAF8;TMEM126A;NDUFA10;NDUFA9;NDUFAF2;NDUFS2;TMEM126B
B naive,GO_BP,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),-0.8228777713126099,-1.5187921794680332,0.0,0.01415702613594324,0.134,34/52,7.32%,NDUFS5;NDUFB1;NDUFB7;NDUFB2;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA13;NDUFA2;NDUFB10;NDUFS8;NDUFB11;NDUFB4;NDUFA6;NDUFB8;NDUFB6;NDUFAB1;NDUFAF3;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;NDUFS3;NDUFA8;NDUFAF8;TMEM126A;NDUFA10;NDUFA9;NDUFAF2;NDUFS2;TMEM126B
B naive,GO_BP,Neural Crest Cell Differentiation (GO:0014033),0.770099439760013,1.5132492530499306,0.058333333333333334,0.3747707635951697,0.995,2/16,0.21%,MEF2C;TCOF1
B naive,GO_BP,Regulation Of NMDA Receptor Activity (GO:2000310),0.7940491315119586,1.5132160006896906,0.03333333333333333,0.360975310304199,0.995,1/16,0.11%,MEF2C
B naive,GO_BP,B Cell Differentiation (GO:0030183),0.6766030440378901,1.511227863818743,0.06,0.35291611920757326,0.995,14/52,2.94%,CD79A;MS4A1;CD79B;TPD52;HHEX;PAX5;KLF6;BLNK;HDAC9;PLCG2;FNIP1;LYL1;HDAC5;CR2
B naive,GO_BP,Regulation Of Immune Response (GO:0050776),0.6176776985453827,1.5061158531302292,0.013513513513513514,0.35454728981933414,0.997,8/68,1.13%,HLA-DRA;HLA-DRB1;BIRC3;CD22;LYN;FCGR2B;INPP5D;APPL1
B naive,GO_BP,ATP Biosynthetic Process (GO:0006754),-0.8765355841692458,-1.5052165765868988,0.0,0.021847815650722534,0.207,16/22,6.88%,ATP5MG;ATP5F1E;ATP5ME;ATP5MF;ATP5F1C;ATP5PD;ATP5MC2;ATP5MC3;ATP5PB;ATP5PF;ATP5F1B;ATP5F1D;ATP5F1A;TGFB1;ATP5MC1;ATP5PO
B naive,GO_BP,Mitochondrial Translation (GO:0032543),-0.7729059218757974,-1.5037407059779744,0.0,0.021077013594797682,0.215,83/97,19.06%,MRPL57;MRPL41;MRPL51;GADD45GIP1;MRPL23;MRPL20;MRPL55;MRPL33;MRPS6;MRPS34;TUFM;MRPS15;MRPL47;MRPL12;MRPS33;MRPL14;MRPL21;MRPL34;MRPL22;MRPS21;MRPL28;MRPL10;MRPL16;MRPL13;MRPS12;MRPS18C;DAP3;MRPL3;MRPL37;MRPL4;MRPL2;MRPS16;MRPL43;MRPS5;MRPL27;CHCHD1;MRPS23;MRPL52;MRPL1;MRPL18;MRPS7;MRPS30;MRPL11;MRPS11;MRPL9;TSFM;MRPL36;MRPS2;MRPL45;MRPL42;MRPL19;MRPS9;MRPS26;MRPS22;MRPL48;MRPL17;MRPS25;MRPL24;MTIF3;MRPL58;IARS2;MRPS14;MRPS31;MRPS28;MRPS27;MRPL44;MRPS17;NDUFA7;MRPL50;MRPL35;MRPS10;MRPS18B;MRPS18A;PTCD3;GFM1;MTIF2;MRPL39;MRPL40;MRPL49;MRPL46;MRPL54;MRPL30;RARS2
B naive,GO_BP,Negative Regulation Of Peptidase Activity (GO:0010466),-0.8375574100350944,-1.4955728225741853,0.0,0.02618921833104871,0.278,12/36,4.90%,GAPDH;CST3;TIMP1;CST7;CSTA;SERPINB1;CSTB;SERPINA1;PARK7;CTSB;SPOCK2;SERPINB6
B naive,GO_BP,Positive Regulation Of Immune Effector Process (GO:0002699),0.6772638165342948,1.4802793395194895,0.047619047619047616,0.413407834197661,0.998,3/28,0.11%,HLA-DRA;HLA-DRB1;HLA-DMB
B naive,GO_BP,Positive Regulation Of Lymphocyte Migration (GO:2000403),-0.9032203826361704,-1.4802238704525283,0.0,0.04231576926034681,0.424,5/15,4.29%,AIF1;CCL5;SPN;PYCARD;RHOA
B naive,GO_BP,Homotypic Cell-Cell Adhesion (GO:0034109),-0.8168115252830771,-1.4778799488606753,0.0,0.04312068878432079,0.452,21/40,14.66%,ACTG1;MYL12A;CD99;FLNA;HSPB1;RAP2B;MYH9;CLIC1;FERMT3;ACTN1;PLEK;TLN1;CSRP1;FIBP;PPIA;ILK;GATA1;STXBP3;VCL;GNAS;METAP1
B naive,GO_BP,Mitochondrial Gene Expression (GO:0140053),-0.7537326684787456,-1.4770912776748928,0.0,0.04127990643957836,0.459,83/102,19.06%,MRPL57;MRPL41;MRPL51;GADD45GIP1;MRPL23;MRPL20;MRPL55;MRPL33;MRPS6;MRPS34;MRPS15;MRPL47;MRPL12;MRPS33;MRPL14;MRPL21;MRPL34;MRPL22;MRPS21;MRPL28;MRPL10;MRPL16;MRPL13;MRPS12;MRPS18C;DAP3;MRPL3;MRPL37;MRPL4;MRPL2;MRPS16;MRPL43;MRPS5;MRPL27;CHCHD1;MRPS23;MRPL52;MRPL1;MRPL18;MRPS7;MRPS30;MRPL11;MRPS11;MRPL9;MRPL36;MRPS2;TFAM;MRPL45;MRPL42;MRPL19;MRPS9;FOXO3;MRPS26;MRPS22;MRPL48;MRPL17;MRPS25;MRPL24;MRPL58;IARS2;MRPS14;MRPS31;MRPS28;MRPS27;MRPL44;MRPS17;NDUFA7;MRPL50;MTERF4;MRPL35;MRPS10;MRPS18B;MRPS18A;PTCD3;TBRG4;MRPL39;MRPL40;MRPL49;MRPL46;SLC25A33;MRPL54;MRPL30;RARS2
B naive,GO_BP,Intermediate Filament Organization (GO:0045109),-0.8352962998969071,-1.4673013066165506,0.0011235955056179776,0.055523020225144486,0.573,2/26,0.67%,VIM;DNAJB6
B naive,GO_BP,Platelet Aggregation (GO:0070527),-0.824931684200634,-1.4594772557501998,0.0010964912280701754,0.06707374508045327,0.647,20/31,14.66%,ACTG1;MYL12A;FLNA;HSPB1;RAP2B;MYH9;CLIC1;FERMT3;ACTN1;PLEK;TLN1;CSRP1;FIBP;PPIA;ILK;GATA1;STXBP3;VCL;GNAS;METAP1
B naive,GO_BP,Defense Response To Fungus (GO:0050832),-0.8553925859622404,-1.4579846481893202,0.0022222222222222222,0.06583913167526009,0.661,5/19,2.58%,GAPDH;S100A9;S100A8;S100A12;CLEC7A
B naive,GO_BP,Cardiac Muscle Cell Differentiation (GO:0055007),0.7282268168408224,1.457509600836868,0.061855670103092786,0.4706534718354294,0.998,1/23,0.11%,MEF2C
B naive,GO_BP,Cognition (GO:0050890),0.6784892257026282,1.4554237943272164,0.045454545454545456,0.46304114300173177,0.998,2/32,1.61%,HLA-DRA;CHD7
B naive,GO_BP,Regulation Of B Cell Proliferation (GO:0030888),0.6908368316512845,1.4553513969717047,0.012048192771084338,0.4492528458376296,0.998,13/42,1.81%,CD74;MEF2C;TNFRSF13C;CD22;CD40;LYN;FCGR2B;MZB1;TNFRSF13B;IKZF3;BCL2;FCRL3;CD81
B naive,GO_BP,Granulocyte Chemotaxis (GO:0071621),-0.7759789923353011,-1.45509969876433,0.0,0.06824215672642442,0.693,14/60,5.15%,ANXA1;ITGB2;FCER1G;CCL5;S100A9;S100A8;PPIB;S100A12;BSG;LGALS3;JAML;CCL4;CXCL8;CCL3
B naive,GO_BP,U2-type Prespliceosome Assembly (GO:1903241),-0.8456995560266475,-1.4537379036592415,0.0022002200220022,0.0679178848800315,0.714,20/23,11.66%,SF3B5;SNRPF;SF3B6;SNRPE;SNRPG;SNRPD2;SNRPD1;SNRPB2;DDX46;SF3B1;SNRPD3;HTATSF1;SF3B2;SF3A3;PHF5A;SNRPA1;SF3B4;SF3A2;SF3A1;RBMX2
B naive,GO_BP,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),-0.759109789773494,-1.4502750354779068,0.0,0.07207850786109572,0.752,58/85,16.03%,NDUFS5;NDUFB1;NDUFB7;NDUFB2;NDUFA11;NDUFA1;NDUFA3;NDUFB9;NDUFC2;NDUFA13;NDUFA2;NDUFB10;NDUFS8;UQCRFS1;NDUFB11;NDUFB4;NDUFA6;NDUFB8;PET100;NDUFB6;NDUFAB1;STMP1;NDUFAF3;NDUFB3;NDUFS7;NDUFC1;NDUFB5;NDUFS4;COX14;NDUFS3;NDUFA8;UQCC2;NDUFAF8;TMEM126A;NDUFA10;NDUFA9;NDUFAF2;COX17;UQCC3;NDUFS2;TMEM126B;SDHAF3;SDHAF2;COA3;SAMM50;NDUFA5;SURF1;ECSIT;COX20;DMAC1;CHCHD7;COA1;NDUFAF4;AIFM1;COX19;DMAC2;NDUFS1;COA5
B naive,GO_BP,Apoptotic Cell Clearance (GO:0043277),-0.8425043622982119,-1.4477304639879698,0.0022701475595913734,0.07441398864494217,0.775,5/24,2.76%,ANXA1;TYROBP;FCN1;RAC1;HMGB1
B naive,GO_BP,Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339),0.7398670336432621,1.4450964460045914,0.08411214953271028,0.46943054877727386,0.999,1/20,0.65%,SELL
B naive,GO_BP,Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635),0.7964391508163999,1.4437607742345315,0.09375,0.45962235768771853,0.999,3/15,1.01%,HLA-DRA;HLA-DRB1;CD55
