,Platelet,Plasmacytoid DC,Pre-B large,Erythroid late,Erythroid early,B naive,Monocyte classical,NK
ICMT,-0.007469235078298136,0.009822317889914722,0.05542070985416767,0.031003458247995982,0.16249179312771697,-0.03701086007679614,-0.02752349581856249,-0.028878885699842035
GPR153,-0.0024953534185713252,0.0030044059806894393,-0.004954276306098286,-0.0068101687342422695,-0.0070958156456594,-0.018109207495800736,-0.004733789592078455,0.022291742407159403
ACOT7,0.009667104010334146,0.037764094415170056,0.1590115891515691,0.09239742861406702,0.20432022849227624,-0.06572889511561668,-0.0021951984543623583,-0.08326891102334293
AL031848.2,-0.0006900200189790273,-0.008205296385690264,-0.001848870838027436,-0.00819443547328315,-0.006410601909658002,-0.011253590449787475,-0.01623964636999111,0.02682762937085618
ESPN,-0.004218844121526814,-0.014775692706054553,-0.010331096794102794,0.070756716721371,0.1863407325492088,-0.03331698077507464,-0.03336629777842716,-0.027520538734304413
TNFRSF25,0.005490586071500825,-0.027666074790660616,-0.03029858213841343,-0.017054509686187217,-0.024853197366096105,-0.09926404378021407,-0.10856959659082598,0.18007571690444196
PLEKHG5,0.0009081272202128566,-0.0043994787924586595,-0.0054223086776329366,-0.0041979277733458316,-0.007225859591947965,-0.016132686513792658,-0.016048683061750526,0.02965548041051028
NOL9,-0.003975087733237714,-0.0038823846765536057,0.016801522992761147,0.00019589855697849662,0.03937776604494989,-0.019316692788878626,-0.031662883847453534,0.02172094343863193
ZBTB48,-0.003971516647564494,0.00044971364692611746,0.02509213236669256,-0.004858208407787871,0.01779053119510132,0.005158080902546167,0.004199780993452742,-0.017108116037416264
KLHL21,-0.0035283415267279936,0.024877345574587862,-0.0011670637394288223,-0.0019343046532828718,0.06085673334548395,-0.03103121646601647,0.014244945605361293,-0.011561610357445327
PHF13,-0.003022055858924368,-0.007668550577363162,0.048480316468727615,0.026723252597800902,0.06770397340276976,-0.010646878080460298,-0.0063038379559019544,-0.02594510114554601
THAP3,-0.004980645695440211,0.0017458025951395007,0.016095787990268912,-0.0008145881861258084,0.04276002881721544,-0.010371517258169777,-0.019996731529746112,0.004503911850860182
DNAJC11,-0.004544425848279634,-0.006810267528345114,0.018126933944873275,0.06645633964366003,0.20218024248011604,-0.02895084101955243,-0.02545691532455984,-0.04860653389802824
CAMTA1,0.041519576501062416,0.04144393248022509,0.06431900628301127,0.014424599664634758,0.06943055199792417,-0.03715551094787888,0.11592025009583654,-0.10868765453338014
VAMP3,-0.010124207227063588,0.019056735388022897,0.01577780218376479,-0.004489583061170971,0.06664468193811252,-0.04433991828745878,0.17457159676684228,-0.12172567580871788
PER3,0.014610319766404685,0.0009433024607130059,0.0025345333967994495,-0.0036002173506633904,0.005598560234296454,-0.015515214930341564,-0.001919341435708421,0.01038068555440898
UTS2,-0.0016514082468232227,-0.009918550740045776,-0.006832867104874938,-0.005890198730216628,0.00022846440465334225,-0.02564002003114521,-0.022344281151886445,0.040947057464033786
TNFRSF9,-0.0025494310133364053,-0.012180459501938764,-0.009420627896134539,-0.011746759108300578,-0.01356643386009665,-0.03301705712061731,-0.02619445483827594,0.05679655037761875
PARK7,0.02876975284519334,0.14013101579899395,0.10936548618856141,0.07144361584714035,0.19213878857930436,-0.06787894599869028,-0.03495601213216967,-0.05889890113130308
ERRFI1,-0.0013409842886388647,-0.007024959257290453,-0.006338725649563916,-0.008021628228485608,-0.01004504665169815,-0.01894507590188019,-0.014989491721231823,0.03386085418753183
RERE,-0.008781124526467208,0.031509861429170415,0.04676627687917949,-0.0151903849462799,0.008696209771762343,0.0699157203424238,-0.01513137341109602,-0.05729154628402524
ENO1,0.010564805744001026,0.05131316521362451,0.18229448509493731,-0.017978307908725982,0.02082501090145529,-0.11155435875151269,0.23213588060476623,-0.1349251784179656
ENO1-AS1,-0.0015393303412193455,-0.0027060991977455413,-0.002308427242560339,-0.009556972826952788,-0.012227270783759622,0.011211011435817457,-0.014594263285735392,0.009770981833949097
CA6,0.002042896713115848,-0.005726532982804405,-0.007330931222202733,-0.004967486118001286,-0.009929229507729296,-0.021597498367713717,-0.023596870350096992,0.041089389485594076
SLC2A5,-0.003267453994935851,0.015075795519970538,0.08450349805651873,-0.0073491370288119055,-0.009307991722015003,0.04105800539439339,0.01614176946895376,-0.05862962807041083
GPR157,-0.0019827881524219107,0.002479647764674178,-0.0021617768351519066,-0.007731705963129697,-0.008965623737562437,-0.00265503025697291,0.017069633461133916,-0.005225014371710018
H6PD,-0.005610820697601461,0.00281560366797686,0.0034376915833909923,-0.012615043984213259,-0.0073140919596305825,0.00926520705848719,0.025759943265454246,-0.02109923246832981
SPSB1,0.042007508033270295,-0.005470224276636558,0.03751603147577094,-0.0072026845950044355,-0.0076837169934247775,-0.006386911113830758,-0.011518566872110248,0.007550407248229622
SLC25A33,-0.008428857804724516,0.015128300581084829,0.042251922007776575,0.008642531848405433,0.0880160913935537,-0.0052325051777083785,0.040044461881215916,-0.06929294610134551
TMEM201,-0.002137087004728567,0.012633799734758647,0.05636660973331562,0.019686902412981683,0.08662890722538547,-0.021590800983979523,-0.007593253183642584,-0.027048846914390516
PIK3CD,-0.006869666644386804,0.023924166215297017,0.02726818953023714,-0.021794020921111427,-0.028987611086906832,-0.021345343327889857,0.010272753942560596,0.014895133522388042
PIK3CD-AS2,0.00487676396088606,0.0037564902458762503,0.012584641195691307,0.027644109556427723,0.02797883334786173,0.008223982747027516,-0.018010440495566122,-0.013560512401057555
CLSTN1,-0.007139590501244206,0.003134553679042124,0.044697556365450475,-0.026620147070865685,-0.025960640009932655,-0.0030911720834206893,-0.034952547219520055,0.034288955642966766
CTNNBIP1,0.008878483001412184,0.04110642841592871,0.0656808904339363,0.0017466352267589671,0.030411928630474323,-0.04790799925755532,0.11580473320541147,-0.08094921847731062
LZIC,-0.0016510807043113593,0.026850387546012336,0.042889473368351964,0.03210248716852392,0.07250350171367707,-0.03492413887152219,0.012132125057120993,-0.029158585642262584
