lineage,gene,correlation,p_value,pct_cells
NK,TRAC,0.5733081815624055,0.0,0.3495186052563102
NK,CD7,0.526003687649123,0.0,0.2960447567004944
NK,B2M,0.48791817233090506,0.0,0.9928701535258913
NK,MALAT1,0.47156657383217265,0.0,0.9856622430392922
NK,CCL5,0.4694881628782449,0.0,0.22870153525891232
NK,TRBC1,0.46423806546439556,0.0,0.24119177725735103
NK,TRBC2,0.451892538816256,0.0,0.32349726775956283
NK,LEPROTL1,0.441795455737162,0.0,0.38412698412698415
NK,RPS29,0.43727681049104367,0.0,0.9913088732760864
NK,RPS27,0.43351347407382335,0.0,0.9975019516003123
NK,GZMM,0.4324472635709157,0.0,0.1979703356752537
NK,HLA-C,0.42896478418488765,0.0,0.8600312256049961
NK,NKG7,0.4277778765732751,0.0,0.23825136612021858
NK,CTSW,0.426388870845909,0.0,0.23304709862086911
NK,LCK,0.41995388156134694,0.0,0.21790268019776216
NK,IL7R,0.415119578971853,0.0,0.22674993494665627
NK,CD3G,0.41356288327756147,0.0,0.20426749934946656
NK,SARAF,0.411603136041056,0.0,0.7027582617746552
NK,CD2,0.41116286797435303,0.0,0.20426749934946656
NK,HLA-A,0.4050805480443655,0.0,0.8941712204007286
NK,CST7,0.4028722648802594,0.0,0.18732760863908404
NK,GZMA,0.3989721647607604,0.0,0.15430653135571168
NK,CD247,0.39060445926179066,0.0,0.16997137652875358
NK,RPL31,0.3855946456102703,0.0,0.9765807962529274
NK,RARRES3,0.3729147178266605,0.0,0.2809263596148842
NK,KLRB1,0.372424236318179,0.0,0.14894613583138172
NK,EVL,0.3700175033132584,0.0,0.38571428571428573
NK,RPS3,0.3595592273081217,0.0,0.9830861306271143
NK,RPL30,0.35731259336929644,0.0,0.9771012230028624
NK,DUSP2,0.35593224756441905,0.0,0.20218579234972678
NK,LAT,0.3556823170468315,0.0,0.17106427270361696
NK,RPS15A,0.3545954233109428,0.0,0.9916211293260474
NK,GNLY,0.35349324636214985,0.0,0.13637782982045277
NK,HCST,0.3496700274416163,0.0,0.519255789747593
NK,RPL3,0.3454479476947923,0.0,0.9820712984647411
NK,RPL23A,0.344388072354175,0.0,0.9803018475149623
NK,HLA-B,0.3431613030207046,0.0,0.9262295081967213
NK,PIK3IP1,0.34233991394678653,0.0,0.23588342440801457
NK,RPS27A,0.3385573277996473,0.0,0.9910226385636222
NK,JUNB,0.3378983322605667,0.0,0.6897736143637783
NK,ZFP36L2,0.33268111150285945,0.0,0.5900598490762425
NK,RORA,0.3290696278640267,0.0,0.14218058808222742
NK,RPS14,0.32031476738445025,0.0,0.9940931563882384
NK,CMC1,0.3194322552690281,0.0,0.16505334374186834
NK,GZMH,0.31684891567782725,0.0,0.09898516783762686
NK,IFITM1,0.314099622089343,0.0,0.14272703616965912
NK,GIMAP7,0.31250742709019097,0.0,0.13871975019516003
