resource,source,target,ligand_complex,receptor_complex,donor_significant,significant_full
consensus,Monocyte classical,NK,B2M,KLRC1,5,True
consensus,Dendritic cell,Monocyte non-classical,HLA-B,LILRB2,5,False
consensus,Dendritic cell,CD8 T cytotoxic,B2M,KLRD1,5,False
consensus,CD4 T memory,CD8 T cytotoxic,HLA-A,CD8A,5,False
consensus,Monocyte classical,B naive,LGALS1,CD69,5,False
consensus,Monocyte classical,Dendritic cell,B2M,CD1C,5,False
consensus,Monocyte classical,CD8 T cytotoxic,B2M,KLRD1,5,False
consensus,Granulocyte precursor,Erythroid late,S100A9,CD36,5,True
consensus,Granulocyte precursor,CD4 T naive,S100A8,CD69,5,False
consensus,Granulocyte precursor,Erythroid late,S100A8,CD36,5,True
consensus,Granulocyte precursor,B naive,LGALS1,CD69,5,False
consensus,Erythroid early,Monocyte non-classical,RPS19,C5AR1,5,False
consensus,B naive,CD8 T cytotoxic,B2M,KLRD1,5,False
consensus,Monocyte classical,B naive,TNFSF13B,HLA-DPB1,5,False
consensus,Monocyte classical,CD4 T naive,S100A8,ITGB2,5,False
consensus,Monocyte classical,CD4 T naive,S100A8,CD69,5,True
consensus,Monocyte classical,CD4 T naive,S100A9,ITGB2,5,False
consensus,Monocyte classical,Dendritic cell,LGALS1,PTPRC,5,False
consensus,Monocyte classical,Dendritic cell,S100A8,CD68,5,True
consensus,Dendritic cell,Monocyte non-classical,RPS19,C5AR1,5,False
consensus,Pre-B small,NK,B2M,KLRC1,4,False
consensus,Platelet,Plasmacytoid DC,PF4,CXCR3,4,True
consensus,B naive,Plasmacytoid DC,HLA-DRA,CD4,4,True
consensus,Pre-B small,CD8 T cytotoxic,HLA-B,CD8A,4,False
consensus,Pre-B small,CD8 T cytotoxic,B2M,KLRD1,4,False
consensus,Platelet,NK,B2M,KLRD1,4,True
consensus,Platelet,NK,HLA-B,KLRD1,4,False
consensus,Pre-B small,Plasmacytoid DC,HLA-DRA,CD4,4,True
consensus,Platelet,CD8 T cytotoxic,B2M,KLRD1,4,False
consensus,Monocyte classical,Erythroid late,S100A12,CD36,4,False
consensus,Dendritic cell,Monocyte non-classical,VIM,CD44,4,False
consensus,Monocyte classical,HSPC,AGTRAP,RACK1,4,False
consensus,CD4 T naive,Monocyte classical,RPS19,C5AR1,4,False
consensus,CD4 T naive,Monocyte non-classical,HLA-B,LILRB2,4,False
consensus,Monocyte classical,Monocyte classical,S100A12,CD36,4,True
consensus,Monocyte classical,Platelet,S100A9,CD68,4,True
consensus,Monocyte non-classical,CD8 T cytotoxic,HLA-B,CD8A,4,False
consensus,Monocyte non-classical,CD4 T memory,LGALS1,CD69,4,False
consensus,Monocyte classical,Pre-B large,S100A8,CD69,4,False
consensus,Monocyte non-classical,CD8 T memory,HLA-B,CD3D,4,False
consensus,Dendritic cell,B naive,LGALS1,CD69,4,False
consensus,Plasmacytoid DC,CD8 T cytotoxic,HLA-B,CD3D,4,False
consensus,Monocyte non-classical,Pre-B small,LGALS1,CD69,4,False
consensus,CD4 T memory,Monocyte classical,RPS19,C5AR1,4,False
consensus,NK,NK,B2M,KLRC2,4,True
consensus,NK,Monocyte non-classical,RPS19,C5AR1,4,False
consensus,CD4 T naive,CD8 T cytotoxic,HLA-B,KLRD1,4,False
consensus,Dendritic cell,Platelet,LGALS1,ITGB1,4,False
consensus,Granulocyte precursor,NK,LGALS1,PTPRC,4,False
consensus,HSPC,Monocyte classical,RPS19,C5AR1,4,False
consensus,Granulocyte precursor,Dendritic cell,S100A9,CD36,4,False
consensus,Granulocyte precursor,Monocyte classical,RPS19,C5AR1,4,False
consensus,Granulocyte precursor,Dendritic cell,LGALS1,PTPRC,4,False
consensus,Granulocyte precursor,Dendritic cell,S100A8,CD36,4,False
consensus,CD8 T cytotoxic,NK,B2M,KLRC2,4,False
consensus,CD8 T cytotoxic,NK,CLEC2D,KLRB1,4,False
consensus,Granulocyte precursor,CD8 T cytotoxic,S100A8,CD69,4,False
consensus,B naive,Monocyte classical,RPS19,C5AR1,4,False
consensus,B naive,CD8 T memory,HLA-B,CD8A,4,False
consensus,B naive,CD8 T cytotoxic,HLA-B,KLRD1,4,False
consensus,T activated,NK,B2M,KLRD1,3,True
consensus,T activated,NK,HLA-B,KLRD1,3,True
consensus,Granulocyte precursor,B naive,TNFSF13B,HLA-DPB1,3,False
consensus,Pre-B small,Monocyte non-classical,HLA-DRA,CD4,3,False
consensus,B naive,Monocyte non-classical,HLA-DRA,CD4,3,False
consensus,Pre-B small,CD8 T memory,HLA-B,CD8B,3,False
consensus,Granulocyte precursor,Granulocyte precursor,S100A8,ITGB2,3,False
consensus,Granulocyte precursor,CD4 T memory,S100A8,ITGB2,3,False
consensus,CD8 T cytotoxic,Monocyte classical,RPS19,C5AR1,3,False
consensus,CD8 T cytotoxic,CD8 T memory,HLA-B,KLRD1,3,False
consensus,Granulocyte precursor,CD8 T cytotoxic,HLA-B,KLRD1,3,False
consensus,Pre-B large,Pre-B small,HMGB1,CXCR4,3,True
consensus,Pre-B small,Monocyte non-classical,HLA-A,LILRB2,3,False
consensus,HSPC,NK,HLA-B,KLRD1,3,False
consensus,Granulocyte precursor,T activated,LGALS1,CD69,3,True
consensus,Pre-B large,CD8 T cytotoxic,HLA-B,KLRD1,3,False
consensus,Granulocyte precursor,Plasmacytoid DC,S100A8,CD36,3,False
consensus,Pre-B large,NK,B2M,KLRD1,3,True
consensus,Pre-B large,Plasmacytoid DC,HLA-DRA,CD4,3,False
consensus,Pre-B large,Pre-B large,HMGB1,CXCR4,3,True
consensus,Dendritic cell,Plasmacytoid DC,HLA-DRB1,CD4,3,True
consensus,Dendritic cell,Plasmacytoid DC,HLA-DPB1,CD4,3,True
consensus,Dendritic cell,T activated,LGALS1,CD69,3,True
consensus,Dendritic cell,Plasmacytoid DC,HLA-DPA1,CD4,3,False
consensus,Monocyte classical,B naive,CXCL8,CD79A,3,True
consensus,Monocyte classical,CD4 T naive,LGALS1,CD69,3,False
consensus,Monocyte classical,CD4 T naive,LGALS1,PTPRC,3,False
consensus,Granulocyte precursor,T activated,S100A8,CD69,3,True
consensus,Platelet,NK,B2M,KLRC1,3,True
consensus,CD8 T memory,Plasmacytoid DC,CCL5,CXCR3,3,False
consensus,Plasmacytoid DC,Monocyte classical,RPS19,C5AR1,3,False
consensus,Monocyte classical,CD8 T cytotoxic,HLA-B,KLRD1,3,False
consensus,Plasmacytoid DC,CD8 T memory,HLA-B,CD8B,3,False
consensus,Monocyte classical,T activated,S100A8,CD69,3,True
consensus,T activated,Dendritic cell,B2M,CD1C,3,False
consensus,Monocyte classical,Platelet,S100A8,CD68,3,True
consensus,Dendritic cell,CD4 T naive,LGALS1,PTPRC,3,False
consensus,CD4 T naive,CD8 T memory,HLA-B,CD8A,3,False
consensus,Monocyte non-classical,NK,B2M,KLRC2,3,False
consensus,Monocyte non-classical,NK,LGALS1,CD69,3,False
consensus,Monocyte classical,Monocyte non-classical,HLA-B,LILRB2,3,False
consensus,Monocyte non-classical,Monocyte non-classical,LGALS1,PTPRC,3,False
consensus,CD4 T memory,NK,B2M,KLRC2,3,False
consensus,Monocyte non-classical,T activated,LGALS1,CD69,3,False
consensus,NK,Monocyte classical,HLA-A,APLP2,3,False
consensus,CD4 T memory,CD8 T cytotoxic,HLA-B,CD8B,3,False
consensus,CD4 T memory,CD8 T cytotoxic,HLA-A,CD8B,3,False
consensus,Dendritic cell,CD8 T cytotoxic,HLA-B,CD8A,3,False
